Day,Order sumary,02/20/2022,,Totals
Sunday,Item,Quantity,Total,"$1,533.75"
,501,25,$162.50,
,502,25,$137.50,
,503,25,$112.50,
,504,20,$50.00,
,505,5,$25.00,
,506,10,$320.00,
,507,25,$18.75,
,508,10,$47.50,
,509,45,$258.75,
,510,25,$93.75,
,511,10,$45.00,
,512,5,$17.50,
,513,100,$10.00,
,514,30,$45.00,
,515,20,$10.00,
,516,10,$15.00,
,517,30,$52.50,
,518,50,$62.50,
,519,25,$50.00,
,,,,
Monday,Item,Quantity,Total,"$1,164.25"
,501,20,$130.00,
,502,25,$137.50,
,503,22,$99.00,
,504,20,$50.00,
,505,5,$25.00,
,506,0,$0.00,
,507,25,$18.75,
,508,10,$47.50,
,509,45,$258.75,
,510,25,$93.75,
,511,10,$45.00,
,512,5,$17.50,
,513,65,$6.50,
,514,30,$45.00,
,515,20,$10.00,
,516,10,$15.00,
,517,30,$52.50,
,518,50,$62.50,
,519,25,$50.00,
,,,,
Tuesday,Item,Quantity,Total,"$1,358.75"
,501,27,$175.50,
,502,30,$165.00,
,503,30,$135.00,
,504,20,$50.00,
,505,5,$25.00,
,506,2,$64.00,
,507,25,$18.75,
,508,12,$57.00,
,509,45,$258.75,
,510,25,$93.75,
,511,6,$27.00,
,512,5,$17.50,
,513,65,$6.50,
,514,50,$75.00,
,515,20,$10.00,
,516,10,$15.00,
,517,30,$52.50,
,518,50,$62.50,
,519,25,$50.00,
,,,,
Wednesday,Item,Quantity,Total,"$1,638.30"
,501,36,$234.00,
,502,36,$198.00,
,503,36,$162.00,
,504,24,$60.00,
,505,6,$30.00,
,506,2,$64.00,
,507,30,$22.50,
,508,14,$66.50,
,509,54,$310.50,
,510,30,$112.50,
,511,7,$31.50,
,512,6,$21.00,
,513,78,$7.80,
,514,60,$90.00,
,515,24,$12.00,
,516,12,$18.00,
,517,36,$63.00,
,518,60,$75.00,
,519,30,$60.00,
,,,,
Thursday,Item,Quantity,Total,"$2,085.10"
,501,46,$299.00,
,502,46,$253.00,
,503,46,$207.00,
,504,31,$77.50,
,505,7,$35.00,
,506,2,$64.00,
,507,39,$29.25,
,508,18,$85.50,
,509,70,$402.50,
,510,39,$146.25,
,511,9,$40.50,
,512,7,$24.50,
,513,101,$10.10,
,514,78,$117.00,
,515,31,$15.50,
,516,15,$22.50,
,517,46,$80.50,
,518,78,$97.50,
,519,39,$78.00,
,,,,
Friday,Item,Quantity,Total,"$2,519.10"
,501,46,$299.00,
,502,46,$253.00,
,503,46,$207.00,
,504,31,$77.50,
,505,17,$85.00,
,506,14,$448.00,
,507,39,$29.25,
,508,18,$85.50,
,509,70,$402.50,
,510,39,$146.25,
,511,9,$40.50,
,512,7,$24.50,
,513,101,$10.10,
,514,78,$117.00,
,515,31,$15.50,
,516,15,$22.50,
,517,46,$80.50,
,518,78,$97.50,
,519,39,$78.00,
,,,,
Saturday,Item,Quantity,Total,"$3,484.10"
,501,64,$416.00,
,502,64,$352.00,
,503,64,$288.00,
,504,43,$107.50,
,505,23,$115.00,
,506,19,$608.00,
,507,54,$40.50,
,508,25,$118.75,
,509,98,$563.50,
,510,54,$202.50,
,511,12,$54.00,
,512,9,$31.50,
,513,141,$14.10,
,514,109,$163.50,
,515,43,$21.50,
,516,21,$31.50,
,517,64,$112.00,
,518,109,$136.25,
,519,54,$108.00,
