Day,Order sumary,03/13/2022,,Totals
Sunday,Item,Quantity,Total,"$1,610.65"
,501,20,$130.00,
,502,20,$110.00,
,503,20,$90.00,
,504,19,$47.50,
,505,8,$40.00,
,506,12,$384.00,
,507,20,$15.00,
,508,18,$85.50,
,509,38,$218.50,
,510,30,$112.50,
,511,17,$76.50,
,512,9,$31.50,
,513,99,$9.90,
,514,36,$54.00,
,515,26,$13.00,
,516,18,$27.00,
,517,28,$49.00,
,518,47,$58.75,
,519,29,$58.00,
,,,,
Monday,Item,Quantity,Total,"$1,292.35"
,501,18,$117.00,
,502,23,$126.50,
,503,21,$94.50,
,504,19,$47.50,
,505,6,$30.00,
,506,3,$96.00,
,507,23,$17.25,
,508,13,$61.75,
,509,41,$235.75,
,510,33,$123.75,
,511,14,$63.00,
,512,8,$28.00,
,513,61,$6.10,
,514,32,$48.00,
,515,27,$13.50,
,516,18,$27.00,
,517,24,$42.00,
,518,55,$68.75,
,519,23,$46.00,
,,,,
Tuesday,Item,Quantity,Total,"$1,550.05"
,501,24,$156.00,
,502,33,$181.50,
,503,31,$139.50,
,504,18,$45.00,
,505,6,$30.00,
,506,5,$160.00,
,507,21,$15.75,
,508,19,$90.25,
,509,47,$270.25,
,510,31,$116.25,
,511,9,$40.50,
,512,3,$10.50,
,513,68,$6.80,
,514,53,$79.50,
,515,25,$12.50,
,516,18,$27.00,
,517,37,$64.75,
,518,48,$60.00,
,519,22,$44.00,
,,,,
Wednesday,Item,Quantity,Total,"$2,016.70"
,501,44,$286.00,
,502,44,$242.00,
,503,44,$198.00,
,504,41,$102.50,
,505,4,$20.00,
,506,6,$192.00,
,507,33,$24.75,
,508,11,$52.25,
,509,55,$316.25,
,510,44,$165.00,
,511,9,$40.50,
,512,2,$7.00,
,513,77,$7.70,
,514,55,$82.50,
,515,33,$16.50,
,516,22,$33.00,
,517,44,$77.00,
,518,67,$83.75,
,519,35,$70.00,
,,,,
Thursday,Item,Quantity,Total,"$2,648.25"
,501,56,$364.00,
,502,66,$363.00,
,503,59,$265.50,
,504,35,$87.50,
,505,10,$50.00,
,506,4,$128.00,
,507,45,$33.75,
,508,26,$123.50,
,509,78,$448.50,
,510,49,$183.75,
,511,13,$58.50,
,512,12,$42.00,
,513,105,$10.50,
,514,88,$132.00,
,515,39,$19.50,
,516,21,$31.50,
,517,57,$99.75,
,518,84,$105.00,
,519,51,$102.00,
,,,,
Friday,Item,Quantity,Total,"$3,058.50"
,501,51,$331.50,
,502,51,$280.50,
,503,51,$229.50,
,504,43,$107.50,
,505,24,$120.00,
,506,18,$576.00,
,507,41,$30.75,
,508,25,$118.75,
,509,79,$454.25,
,510,54,$202.50,
,511,15,$67.50,
,512,17,$59.50,
,513,150,$15.00,
,514,83,$124.50,
,515,43,$21.50,
,516,29,$43.50,
,517,49,$85.75,
,518,80,$100.00,
,519,45,$90.00,
,,,,
Saturday,Item,Quantity,Total,"$4,466.25"
,501,75,$487.50,
,502,73,$401.50,
,503,75,$337.50,
,504,56,$140.00,
,505,38,$190.00,
,506,26,$832.00,
,507,61,$45.75,
,508,38,$180.50,
,509,118,$678.50,
,510,68,$255.00,
,511,23,$103.50,
,512,19,$66.50,
,513,170,$17.00,
,514,142,$213.00,
,515,63,$31.50,
,516,33,$49.50,
,517,78,$136.50,
,518,130,$162.50,
,519,69,$138.00,
