Day,Order sumary,03/06/2022,,Totals
Sunday,Item,Quantity,Total,"$1,899.75"
,501,30,$195.00,
,502,20,$110.00,
,503,20,$90.00,
,504,15,$37.50,
,505,4,$20.00,
,506,6,$192.00,
,507,20,$15.00,
,508,7,$33.25,
,509,40,$230.00,
,510,20,$75.00,
,511,15,$67.50,
,512,10,$35.00,
,513,150,$525.00,
,514,40,$60.00,
,515,30,$15.00,
,516,8,$12.00,
,517,45,$78.75,
,518,45,$78.75,
,519,15,$30.00,
,,,,
Monday,Item,Quantity,Total,"$1,082.50"
,501,20,$130.00,
,502,15,$82.50,
,503,10,$45.00,
,504,10,$25.00,
,505,5,$25.00,
,506,4,$128.00,
,507,15,$11.25,
,508,10,$47.50,
,509,25,$143.75,
,510,20,$75.00,
,511,15,$67.50,
,512,10,$35.00,
,513,150,$15.00,
,514,40,$60.00,
,515,30,$15.00,
,516,8,$12.00,
,517,45,$78.75,
,518,45,$56.25,
,519,15,$30.00,
,,,,
Tuesday,Item,Quantity,Total,"$1,786.25"
,501,34,$221.00,
,502,35,$192.50,
,503,32,$144.00,
,504,23,$57.50,
,505,9,$45.00,
,506,6,$192.00,
,507,34,$25.50,
,508,16,$76.00,
,509,43,$247.25,
,510,20,$75.00,
,511,27,$121.50,
,512,18,$63.00,
,513,55,$5.50,
,514,56,$84.00,
,515,27,$13.50,
,516,19,$28.50,
,517,33,$57.75,
,518,47,$58.75,
,519,39,$78.00,
,,,,
Wednesday,Item,Quantity,Total,"$2,034.55"
,501,46,$299.00,
,502,49,$269.50,
,503,46,$207.00,
,504,56,$140.00,
,505,4,$20.00,
,506,3,$96.00,
,507,17,$12.75,
,508,12,$57.00,
,509,64,$368.00,
,510,19,$71.25,
,511,14,$63.00,
,512,8,$28.00,
,513,63,$6.30,
,514,78,$117.00,
,515,13,$6.50,
,516,23,$34.50,
,517,42,$73.50,
,518,49,$61.25,
,519,52,$104.00,
,,,,
Thursday,Item,Quantity,Total,"$2,317.60"
,501,53,$344.50,
,502,42,$231.00,
,503,39,$175.50,
,504,46,$115.00,
,505,18,$90.00,
,506,3,$96.00,
,507,33,$24.75,
,508,22,$104.50,
,509,66,$379.50,
,510,74,$277.50,
,511,14,$63.00,
,512,3,$10.50,
,513,106,$10.60,
,514,88,$132.00,
,515,43,$21.50,
,516,9,$13.50,
,517,24,$42.00,
,518,69,$86.25,
,519,50,$100.00,
,,,,
Friday,Item,Quantity,Total,"$3,898.25"
,501,67,$435.50,
,502,68,$374.00,
,503,66,$297.00,
,504,45,$112.50,
,505,31,$155.00,
,506,27,$864.00,
,507,48,$36.00,
,508,26,$123.50,
,509,89,$511.75,
,510,66,$247.50,
,511,24,$108.00,
,512,15,$52.50,
,513,165,$16.50,
,514,89,$133.50,
,515,46,$23.00,
,516,39,$58.50,
,517,73,$127.75,
,518,91,$113.75,
,519,54,$108.00,
,,,,
Saturday,Item,Quantity,Total,"$5,315.90"
,501,88,$572.00,
,502,89,$489.50,
,503,78,$351.00,
,504,67,$167.50,
,505,43,$215.00,
,506,36,"$1,152.00",
,507,77,$57.75,
,508,46,$218.50,
,509,123,$707.25,
,510,74,$277.50,
,511,32,$144.00,
,512,19,$66.50,
,513,189,$18.90,
,514,169,$253.50,
,515,72,$36.00,
,516,43,$64.50,
,517,85,$148.75,
,518,187,$233.75,
,519,71,$142.00,
