unit_conversion,,Chicken breast,flour (lbs),salt (lbs),black pepper (lbs),Fries,Thick bread (slice),Potato Salad (lbs),Liquid margarine,Garlic powder,Ranch,Ketchup-Lg container,Ketchup-packets,Mayo,Tea bags,Sugar for tea,Worcestershire Sauce,Sliced cheese,Bacon slices,Fryer oil
item_id int PRIMARY KEY,item_name text,c1001 float,d2001 float,d2002 float,d2003 float,f3002 float,d2004 float,c1002 float,c1003 float,d2005 float,c1004 float,d2006 float,d2007 float,d2008 float,d2009 float,d2010 float,d2011 float,c1005 float,c1006 float,d2012 float
501,5 finger original,0.46875,0.3125,0.046,0.0234,0.0066,0.00588,0.002083,0.09418,0.0018372,0,0,0,0.00234375,0,0,0,0,0,0.01785
502,4 finger meal,0.375,0.25,0.0368,0.0188,0.0066,0.00588,0.002083,0.09418,0.0018372,0,0,0,0.00234375,0,0,0,0,0,0.01428
503,three finger meal,0.28125,0.1875,0.0276,0.0142,0.0066,0.00588,0.002083,0.09418,0.0018372,0,0,0,0.00234375,0,0,0,0,0,0.01071
504,kids meal,0.1875,0.125,0.0184,0.0096,0.0066,0.00588,0.002083,0.09418,0.0018372,0,0,0,0.00234375,0,0,0,0,0,0.00714
505,gallon of tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.02646,0,0,0,0
506,family pack,1.875,1.25,0.184,0.092,0.0264,0.02352941176,0.002083,0.37672,0.0073488,0,0,0,0.00234375,0,0,0,0,0,0.08568
507,Club Sandwich meal,0.28125,0.1875,0.0276,0.0146,0.0066,0.01764705882,0.002083,0.28254,0.0055116,0,0,0,0.00234375,0,0,0,0.0010417,0.013333,0.01071
508,Club Sandwich only,0.28125,0.1875,0.0276,0.0142,0,0.01176470588,0,0.18836,0.0036744,0,0,0,0,0,0,0,0.0010417,0.013333,0.01071
509,Sandwich meal combo,0.28125,0.1875,0.0276,0.0146,0.0066,0.01764705882,0.002083,0.28254,0.0055116,0,0,0,0.00234375,0,0,0,0,0,0.01071
510,sandwich only,0.28125,0.1875,0.0276,0.0142,0,0.01176470588,0,0.18836,0.0036744,0,0,0,0,0,0,0,0,9,0.01071
511,Grill cheese meal combo,0,0,0,0,0.0066,0.01764705882,0.002083,0.28254,0.0055116,0,0,0,0.00234375,0,0,0,0.0010417,0,0
512,grill cheese sandwich only,0,0,0,0,0,0.01176470588,0,0.18836,0.0036744,0,0,0,0,0,0,0,0.0010417,0,0
513,Layne's sauce,0,0,0,0.0004,0,0.00000,0,0,0,0,0,0,0.00234375,0,0,0.00078125,0,0,0
514,Chicken finger,0.09375,0.0625,0.0092,0.0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357
515,texas toast,0,0,0,0,0,0.00588,0,0.09418,0.0018372,0,0,0,0,0,0,0,0,0,0
516,potato Salad,0,0,0,0,0,0,0.002083,0,0,0,0,0,0,0,0,0,0,0,0
517,Crinke cut fries,0,0,0,0,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357
518,Fountain Drink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,Bottle drink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
